m,n,Re_Z,Im_Z
4,25,0.181657557411874,-0.122741299741268
4,26,0.157005027492099,-0.119413059630912
4,27,0.135613498566155,-0.115996804062147
4,28,0.116910000172159,-0.112500543823926
4,29,0.100448745909811,-0.108932417633219
4,30,0.0858788656630728,-0.105300666917229
4,31,0.0729212029171276,-0.101613610413587
4,32,0.0613513980591044,-0.0978796186813547
4,33,0.050987396535103,-0.094107088611808
4,34,0.0416801153086181,-0.0903044180314937
4,35,0.0333063927913526,-0.0864799804867006
4,36,0.0257636096100395,-0.082642100297497
4,37,0.0189655456591009,-0.0787990279702533
4,38,0.0128391614999714,-0.0749589160521094
4,39,0.00732207767407316,-0.0711297955123563
4,40,0.00236058583142818,-0.0673195527311081
5,0,9.34317895007928,-0.158348113061713
5,1,18.0130650181037,-0.159190337464792
5,2,42.7996840197675,-0.159847606617823
5,3,149.317435988878,-0.160318268928741
5,4,580.242387417146,-0.160601140826957
5,5,-1616.65840963948,-0.160695510622443
5,6,580.242387417146,-0.160601140826957
5,7,149.317435988878,-0.160318268928737
5,8,42.7996840197676,-0.159847606617823
5,9,18.0130650181037,-0.159190337464792
5,10,9.34317895007928,-0.158348113061713
5,11,5.52348742236272,-0.157323047639763
5,12,3.57171376939708,-0.156117711183215
5,13,2.46512615422913,-0.154735121066249
5,14,1.78724014405344,-0.153178732242763
5,15,1.34622788980943,-0.151452426027001
5,16,1.04512567457256,-0.149560497505474
5,17,0.831213228390045,-0.147507641628044
5,18,0.674088709328827,-0.14529893802943
5,19,0.555348436211181,-0.142939834637389
5,20,0.463388148711963,-0.140436130128711
5,21,0.390632111513263,-0.13779395529782
5,22,0.331983973010933,-0.135019753406665
5,23,0.283924428914787,-0.132120259588863
5,24,0.243966585328853,-0.129102479383536
5,25,0.210316798656663,-0.125973666478065
5,26,0.181657557411874,-0.122741299741268
5,27,0.157005027492135,-0.119413059630935
5,28,0.135613498566155,-0.115996804062147
5,29,0.116910000172159,-0.112500543823926
5,30,0.100448745909811,-0.108932417633219
5,31,0.0858788656630728,-0.105300666917229
5,32,0.0729212029171527,-0.101613610413614
5,33,0.0613513980591044,-0.0978796186813547
5,34,0.050987396535103,-0.094107088611808
5,35,0.0416801153086181,-0.0903044180314937
5,36,0.0333063927913526,-0.0864799804867006
5,37,0.0257636096100463,-0.0826421002975266
5,38,0.0189655456591009,-0.0787990279702533
5,39,0.0128391614999714,-0.0749589160521094
5,40,0.00732207767407316,-0.0711297955123563
6,0,5.52348742236271,-0.157323047639763
6,1,9.34317895007928,-0.158348113061713
6,2,18.0130650181037,-0.159190337464787
6,3,42.7996840197675,-0.159847606617823
6,4,149.317435988878,-0.160318268928741
6,5,580.242387417146,-0.160601140826957
6,6,-1616.65840963948,-0.160695510622443
6,7,580.242387417145,-0.160601140826957
6,8,149.317435988878,-0.160318268928737
6,9,42.7996840197676,-0.159847606617805
6,10,18.0130650181037,-0.159190337464792
6,11,9.34317895007928,-0.158348113061713
6,12,5.52348742236273,-0.157323047639776
6,13,3.57171376939708,-0.156117711183215
6,14,2.46512615422913,-0.154735121066249
6,15,1.78724014405344,-0.153178732242763
6,16,1.34622788980943,-0.151452426027001
6,17,1.04512567457256,-0.149560497505469
6,18,0.831213228390045,-0.147507641628044
6,19,0.674088709328827,-0.14529893802943
6,20,0.555348436211181,-0.142939834637366
6,21,0.463388148711945,-0.140436130128716
6,22,0.390632111513263,-0.13779395529782
6,23,0.331983973010933,-0.135019753406665
6,24,0.283924428914787,-0.132120259588863
6,25,0.243966585328853,-0.129102479383536
6,26,0.210316798656663,-0.125973666478065
6,27,0.181657557411836,-0.12274129974125
6,28,0.157005027492135,-0.119413059630935
6,29,0.135613498566155,-0.115996804062147
6,30,0.116910000172159,-0.112500543823926
6,31,0.100448745909811,-0.108932417633219
6,32,0.0858788656630433,-0.105300666917202
6,33,0.0729212029171527,-0.101613610413614
6,34,0.0613513980591044,-0.0978796186813547
6,35,0.050987396535103,-0.094107088611808
6,36,0.0416801153086181,-0.0903044180314937
6,37,0.033306392791339,-0.0864799804866733
6,38,0.0257636096100463,-0.0826421002975266
6,39,0.0189655456591009,-0.0787990279702533
6,40,0.0128391614999714,-0.0749589160521094
7,0,3.57171376939708,-0.156117711183215
7,1,5.52348742236273,-0.157323047639776
7,2,9.34317895007928,-0.158348113061713
7,3,18.0130650181037,-0.159190337464792
7,4,42.7996840197675,-0.159847606617823
7,5,149.317435988878,-0.160318268928741
7,6,580.242387417145,-0.160601140826957
7,7,-1616.65840963948,-0.160695510622443
7,8,580.242387417146,-0.160601140826957
7,9,149.317435988878,-0.160318268928737
7,10,42.7996840197676,-0.159847606617823
7,11,18.0130650181037,-0.159190337464787
7,12,9.34317895007928,-0.158348113061713
7,13,5.52348742236272,-0.157323047639763
7,14,3.57171376939707,-0.156117711183233
7,15,2.46512615422913,-0.154735121066249
7,16,1.78724014405344,-0.153178732242763
7,17,1.34622788980943,-0.151452426027001
7,18,1.04512567457256,-0.149560497505474
7,19,0.831213228390049,-0.147507641628044
7,20,0.674088709328827,-0.14529893802943
7,21,0.555348436211181,-0.142939834637366
7,22,0.463388148711963,-0.140436130128711
7,23,0.39063211151325,-0.137793955297815
7,24,0.331983973010935,-0.135019753406665
7,25,0.283924428914794,-0.132120259588872
7,26,0.243966585328841,-0.129102479383531
7,27,0.210316798656679,-0.125973666478074
7,28,0.181657557411852,-0.122741299741246
7,29,0.157005027492119,-0.11941305963093
7,30,0.135613498566164,-0.115996804062156
7,31,0.116910000172149,-0.112500543823915
7,32,0.100448745909826,-0.108932417633231
7,33,0.0858788656630592,-0.105300666917215
7,34,0.0729212029171436,-0.1016136104136
7,35,0.0613513980591089,-0.0978796186813683
7,36,0.0509873965350962,-0.0941070886117943
